Date,Coin Name,Price,24h Change,Market Cap
2026-06-10,"CoinMarketCap 20 Index DTF
CMC20
Buy",$124.31,0.36%,"$12,667,813"
2026-06-10,"Bitcoin
BTC
Buy","$61,450.77",0.25%,"$1,231,417,360,708"
2026-06-10,"Ethereum
ETH
Buy","$1,627.26",0.36%,"$196,385,587,222"
2026-06-10,"Tether
USDT
Buy",$0.9992,0.02%,"$186,807,048,764"
2026-06-10,"BNB
BNB
Buy",$587.46,0.12%,"$79,180,322,755"
2026-06-10,"USDC
USDC
Buy",$0.9996,0.02%,"$75,057,727,981"
2026-06-10,"XRP
XRP
Buy",$1.11,0.18%,"$69,440,457,455"
2026-06-10,"Solana
SOL
Buy",$64.47,0.27%,"$37,353,932,297"
2026-06-10,"TRON
TRX
Buy",$0.3214,0.13%,"$30,484,919,728"
2026-06-10,"Hyperliquid
HYPE
Buy",$56.65,1.45%,"$14,370,783,556"
