Date,Coin Name,Price,24Change,Market Cap,
09-06-2026,"CoinMarketCap 20 Index DTF
CMC20
Buy",$123.72,0.48%,"$12,612,134",
09-06-2026,"Bitcoin
BTC
Buy","$60,949.31",0.91%,"$1,221,368,563,585",
09-06-2026,"Ethereum
ETH
Buy","$1,627.67",1.22%,"$196,434,566,092",
09-06-2026,"Tether
USDT
Buy",$0.9993,0.04%,"$186,839,198,701",
09-06-2026,"BNB
BNB
Buy",$586.19,0.37%,"$79,010,281,967",
09-06-2026,"USDC
USDC
Buy",$0.9997,0.02%,"$75,577,980,965",
09-06-2026,"XRP
XRP
Buy",$1.12,0.64%,"$70,047,118,253",
09-06-2026,"Solana
SOL
Buy",$64.23,1.05%,"$37,215,229,125",
09-06-2026,"TRON
TRX
Buy",$0.3217,0.09%,"$30,511,999,466",
09-06-2026,"Hyperliquid
HYPE
Buy",$58.83,1.66%,"$14,926,066,893",
2026-06-09,"CoinMarketCap 20 Index DTF
CMC20
Buy",$123.49,0.75%,"$12,589,281"
2026-06-09,"Bitcoin
BTC
Buy","$61,112.88",0.17%,"$1,224,646,469,023"
2026-06-09,"Ethereum
ETH
Buy","$1,632.03",0.33%,"$196,961,443,264"
2026-06-09,"Tether
USDT
Buy",$0.9991,0.01%,"$186,797,219,058"
2026-06-09,"BNB
BNB
Buy",$587.06,0.49%,"$79,127,329,374"
2026-06-09,"USDC
USDC
Buy",$0.9996,0.00%,"$75,546,111,609"
2026-06-09,"XRP
XRP
Buy",$1.12,0.55%,"$69,991,566,158"
2026-06-09,"Solana
SOL
Buy",$64.13,1.29%,"$37,162,028,020"
2026-06-09,"TRON
TRX
Buy",$0.3217,0.16%,"$30,505,833,310"
2026-06-09,"Hyperliquid
HYPE
Buy",$59.20,1.15%,"$15,019,071,962"
2026-06-10,"CoinMarketCap 20 Index DTF
CMC20
Buy",$124.31,0.36%,"$12,667,813"
2026-06-10,"Bitcoin
BTC
Buy","$61,450.77",0.25%,"$1,231,417,360,708"
2026-06-10,"Ethereum
ETH
Buy","$1,627.26",0.36%,"$196,385,587,222"
2026-06-10,"Tether
USDT
Buy",$0.9992,0.02%,"$186,807,048,764"
2026-06-10,"BNB
BNB
Buy",$587.46,0.12%,"$79,180,322,755"
2026-06-10,"USDC
USDC
Buy",$0.9996,0.02%,"$75,057,727,981"
2026-06-10,"XRP
XRP
Buy",$1.11,0.18%,"$69,440,457,455"
2026-06-10,"Solana
SOL
Buy",$64.47,0.27%,"$37,353,932,297"
2026-06-10,"TRON
TRX
Buy",$0.3214,0.13%,"$30,484,919,728"
2026-06-10,"Hyperliquid
HYPE
Buy",$56.65,1.45%,"$14,370,783,556"
